IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.91.3.85,2086,80,false,ORD,North America,Chicago,198,0.00
52.42.17.48,2083,80,false,ORD,North America,Chicago,206,0.00
35.88.241.242,2096,80,false,ORD,North America,Chicago,201,0.00
35.88.241.242,80,80,false,ORD,North America,Chicago,199,0.00
35.88.241.242,2082,80,false,ORD,North America,Chicago,204,0.00
35.88.241.242,2087,80,false,ORD,North America,Chicago,201,0.00
35.88.241.242,2053,80,false,ORD,North America,Chicago,199,0.00
35.88.241.242,8443,80,false,ORD,North America,Chicago,203,0.00
35.88.241.242,443,80,false,ORD,North America,Chicago,204,0.00
35.88.241.242,2083,80,false,ORD,North America,Chicago,198,0.00
34.210.73.42,2086,80,false,ORD,North America,Chicago,210,0.00
34.210.73.42,2087,80,false,ORD,North America,Chicago,201,0.00
96.0.147.28,80,80,false,SIN,Asia Pacific,Singapore,28,0.00
96.0.144.232,80,80,false,SIN,Asia Pacific,Singapore,30,0.00
96.0.147.114,443,80,false,SIN,Asia Pacific,Singapore,31,0.00
96.0.147.114,80,80,false,SIN,Asia Pacific,Singapore,31,0.00
16.162.177.179,2053,80,false,HKG,Asia Pacific,Hong Kong,71,0.00
13.55.237.163,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2052,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2086,80,false,SYD,Oceania,Sydney,95,0.00
13.55.238.1,2095,80,false,SYD,Oceania,Sydney,96,0.00
13.55.237.163,2087,80,false,SYD,Oceania,Sydney,96,0.00
13.55.237.163,2082,80,false,SYD,Oceania,Sydney,98,0.00
13.55.238.1,2096,80,false,SYD,Oceania,Sydney,99,0.00
13.55.238.1,2087,80,false,SYD,Oceania,Sydney,101,0.00
54.252.91.41,2083,80,false,SYD,Oceania,Sydney,104,0.00
16.162.172.91,2096,80,false,HKG,Asia Pacific,Hong Kong,106,0.00
54.252.91.41,2087,80,false,SYD,Oceania,Sydney,107,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,Singapore,108,0.00
13.55.59.224,2083,80,false,SYD,Oceania,Sydney,110,0.00
13.54.173.154,2096,80,false,SYD,Oceania,Sydney,111,0.00
13.238.235.196,2053,80,false,SYD,Oceania,Sydney,112,0.00
13.54.173.154,2053,80,false,SYD,Oceania,Sydney,116,0.00
54.79.10.40,2087,80,false,SYD,Oceania,Sydney,120,0.00
13.236.104.165,2096,80,false,SYD,Oceania,Sydney,120,0.00
13.211.0.227,2095,80,false,SYD,Oceania,Sydney,123,0.00
13.236.104.165,2095,80,false,SYD,Oceania,Sydney,128,0.00
13.55.237.163,2095,80,false,SYD,Oceania,Sydney,128,0.00
54.252.91.41,2052,80,false,SYD,Oceania,Sydney,129,0.00
54.79.10.40,2096,80,false,SYD,Oceania,Sydney,130,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,Singapore,132,0.00
54.252.91.41,2096,80,false,SYD,Oceania,Sydney,135,0.00
13.55.238.1,2083,80,false,SYD,Oceania,Sydney,136,0.00
13.55.59.224,2087,80,false,SYD,Oceania,Sydney,136,0.00
54.252.91.41,2095,80,false,SYD,Oceania,Sydney,138,0.00
13.211.0.227,2096,80,false,SYD,Oceania,Sydney,138,0.00
13.236.104.165,2053,80,false,SYD,Oceania,Sydney,139,0.00
13.238.235.196,2095,80,false,SYD,Oceania,Sydney,139,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,140,0.00
54.252.91.41,2086,80,false,SYD,Oceania,Sydney,142,0.00
13.55.59.224,2052,80,false,SYD,Oceania,Sydney,143,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,Singapore,143,0.00
13.211.0.227,2052,80,false,SYD,Oceania,Sydney,150,0.00
