IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
45.65.201.1,443,true,AMS,Europe,Amsterdam,11 мс
45.65.201.29,443,true,AMS,Europe,Amsterdam,12 мс
45.65.201.2,443,true,AMS,Europe,Amsterdam,14 мс
45.65.201.32,443,true,AMS,Europe,Amsterdam,18 мс
45.65.201.4,443,true,AMS,Europe,Amsterdam,19 мс
45.65.201.53,443,true,AMS,Europe,Amsterdam,20 мс
45.65.201.33,443,true,AMS,Europe,Amsterdam,21 мс
45.65.201.31,443,true,AMS,Europe,Amsterdam,21 мс
45.65.201.78,443,true,AMS,Europe,Amsterdam,22 мс
45.65.201.5,443,true,AMS,Europe,Amsterdam,23 мс
45.65.201.35,443,true,AMS,Europe,Amsterdam,24 мс
45.65.201.142,443,true,AMS,Europe,Amsterdam,25 мс
45.65.201.83,443,true,AMS,Europe,Amsterdam,25 мс
45.65.201.21,443,true,AMS,Europe,Amsterdam,26 мс
45.65.201.199,443,true,AMS,Europe,Amsterdam,26 мс
45.65.201.23,443,true,AMS,Europe,Amsterdam,27 мс
45.65.201.7,443,true,AMS,Europe,Amsterdam,28 мс
45.65.201.48,443,true,AMS,Europe,Amsterdam,32 мс
45.65.201.47,443,true,AMS,Europe,Amsterdam,32 мс
45.65.201.46,443,true,AMS,Europe,Amsterdam,33 мс
45.65.201.171,443,true,AMS,Europe,Amsterdam,34 мс
45.65.201.107,443,true,AMS,Europe,Amsterdam,34 мс
45.65.201.170,443,true,AMS,Europe,Amsterdam,34 мс
45.65.201.106,443,true,AMS,Europe,Amsterdam,35 мс
45.65.201.44,443,true,AMS,Europe,Amsterdam,35 мс
45.65.201.169,443,true,AMS,Europe,Amsterdam,35 мс
45.65.201.105,443,true,AMS,Europe,Amsterdam,35 мс
45.65.201.15,443,true,AMS,Europe,Amsterdam,35 мс
45.65.201.168,443,true,AMS,Europe,Amsterdam,35 мс
45.65.201.43,443,true,AMS,Europe,Amsterdam,35 мс
45.65.201.104,443,true,AMS,Europe,Amsterdam,36 мс
45.65.201.14,443,true,AMS,Europe,Amsterdam,36 мс
45.65.201.99,443,true,AMS,Europe,Amsterdam,37 мс
45.65.201.163,443,true,AMS,Europe,Amsterdam,38 мс
45.65.201.98,443,true,AMS,Europe,Amsterdam,38 мс
45.65.201.124,443,true,AMS,Europe,Amsterdam,39 мс
45.65.201.96,443,true,AMS,Europe,Amsterdam,39 мс
45.65.201.12,443,true,AMS,Europe,Amsterdam,40 мс
45.65.201.40,443,true,AMS,Europe,Amsterdam,40 мс
45.65.201.214,443,true,AMS,Europe,Amsterdam,40 мс
45.65.201.38,443,true,AMS,Europe,Amsterdam,41 мс
45.65.201.37,443,true,AMS,Europe,Amsterdam,41 мс
45.65.201.50,443,true,AMS,Europe,Amsterdam,42 мс
45.65.201.212,443,true,AMS,Europe,Amsterdam,46 мс
45.65.201.122,443,true,AMS,Europe,Amsterdam,47 мс
45.65.201.209,443,true,AMS,Europe,Amsterdam,49 мс
45.65.201.208,443,true,AMS,Europe,Amsterdam,50 мс
45.65.201.201,443,true,AMS,Europe,Amsterdam,54 мс
