IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
104.18.15.88,443,true,RIX,Europe,Riga,147 мс
104.18.19.64,443,true,DME,Europe,Moscow,149 мс
104.18.19.77,443,true,DME,Europe,Moscow,161 мс
104.18.23.42,443,true,RIX,Europe,Riga,144 мс
104.18.27.30,443,true,RIX,Europe,Riga,147 мс
104.18.31.9,443,true,DME,Europe,Moscow,161 мс
104.18.38.200,443,true,DME,Europe,Moscow,159 мс
104.18.38.203,443,true,DME,Europe,Moscow,137 мс
104.18.46.152,443,true,DME,Europe,Moscow,153 мс
104.18.50.128,443,true,DME,Europe,Moscow,148 мс
104.18.50.130,443,true,DME,Europe,Moscow,143 мс
104.18.54.108,443,true,DME,Europe,Moscow,136 мс
104.18.62.56,443,true,DME,Europe,Moscow,149 мс
104.18.62.58,443,true,DME,Europe,Moscow,136 мс
104.18.70.8,443,true,RIX,Europe,Riga,146 мс
104.18.73.240,443,true,DME,Europe,Moscow,149 мс
104.18.73.253,443,true,DME,Europe,Moscow,137 мс
104.18.77.234,443,true,DME,Europe,Moscow,157 мс
104.18.81.194,443,true,DME,Europe,Moscow,138 мс
104.18.85.186,443,true,DME,Europe,Moscow,156 мс
104.18.89.151,443,true,DME,Europe,Moscow,159 мс
104.18.93.243,443,true,DME,Europe,Moscow,158 мс
104.18.97.129,443,true,DME,Europe,Moscow,162 мс
104.18.101.73,443,true,DME,Europe,Moscow,140 мс
104.18.112.132,443,true,DME,Europe,Moscow,139 мс
104.18.113.14,443,true,DME,Europe,Moscow,152 мс
104.18.116.238,443,true,DME,Europe,Moscow,155 мс
104.18.120.210,443,true,DME,Europe,Moscow,167 мс
104.18.124.199,443,true,DME,Europe,Moscow,151 мс
104.18.132.136,443,true,DME,Europe,Moscow,140 мс
104.18.132.142,443,true,DME,Europe,Moscow,137 мс
104.18.136.149,443,true,DME,Europe,Moscow,136 мс
104.18.140.105,443,true,DME,Europe,Moscow,139 мс
104.18.144.128,443,true,DME,Europe,Moscow,152 мс
104.18.158.245,443,true,DME,Europe,Moscow,162 мс
104.18.159.235,443,true,DME,Europe,Moscow,136 мс
104.18.163.227,443,true,DME,Europe,Moscow,144 мс
104.18.181.104,443,true,DME,Europe,Moscow,142 мс
104.18.198.97,443,true,DME,Europe,Moscow,141 мс
104.18.198.242,443,true,DME,Europe,Moscow,150 мс
104.18.202.230,443,true,DME,Europe,Moscow,141 мс
104.18.206.208,443,true,DME,Europe,Moscow,136 мс
104.18.210.180,443,true,DME,Europe,Moscow,139 мс
104.18.214.161,443,true,DME,Europe,Moscow,145 мс
104.18.218.143,443,true,DME,Europe,Moscow,137 мс
104.18.226.72,443,true,DME,Europe,Moscow,152 мс
104.18.226.114,443,true,DME,Europe,Moscow,154 мс
104.18.230.50,443,true,DME,Europe,Moscow,153 мс
104.18.234.127,443,true,DME,Europe,Moscow,139 мс
104.18.238.8,443,true,DME,Europe,Moscow,146 мс
104.18.241.242,443,true,DME,Europe,Moscow,161 мс
104.18.245.224,443,true,DME,Europe,Moscow,140 мс
104.18.250.23,443,true,DME,Europe,Moscow,160 мс
104.18.253.175,443,true,RIX,Europe,Riga,147 мс
104.19.15.149,443,true,DME,Europe,Moscow,146 мс
104.19.17.44,443,true,DME,Europe,Moscow,142 мс
104.19.21.17,443,true,DME,Europe,Moscow,138 мс
104.19.21.33,443,true,DME,Europe,Moscow,153 мс
104.19.25.22,443,true,DME,Europe,Moscow,137 мс
104.19.28.228,443,true,DME,Europe,Moscow,135 мс
104.19.28.225,443,true,DME,Europe,Moscow,135 мс
104.19.28.227,443,true,DME,Europe,Moscow,136 мс
104.19.28.226,443,true,DME,Europe,Moscow,146 мс
104.19.32.202,443,true,DME,Europe,Moscow,136 мс
104.19.32.201,443,true,DME,Europe,Moscow,138 мс
104.19.32.203,443,true,DME,Europe,Moscow,140 мс
104.19.32.206,443,true,RIX,Europe,Riga,146 мс
104.19.32.204,443,true,DME,Europe,Moscow,151 мс
104.19.36.178,443,true,DME,Europe,Moscow,135 мс
104.19.36.177,443,true,DME,Europe,Moscow,141 мс
104.19.36.193,443,true,RIX,Europe,Riga,144 мс
104.19.36.180,443,true,DME,Europe,Moscow,169 мс
104.19.40.153,443,true,DME,Europe,Moscow,137 мс
104.19.40.156,443,true,DME,Europe,Moscow,138 мс
104.19.40.157,443,true,DME,Europe,Moscow,151 мс
104.19.40.155,443,true,DME,Europe,Moscow,153 мс
104.19.40.154,443,true,DME,Europe,Moscow,154 мс
104.19.44.133,443,true,DME,Europe,Moscow,136 мс
104.19.44.131,443,true,DME,Europe,Moscow,137 мс
104.19.44.134,443,true,DME,Europe,Moscow,138 мс
104.19.44.132,443,true,RIX,Europe,Riga,145 мс
104.19.44.168,443,true,DME,Europe,Moscow,153 мс
104.19.44.130,443,true,DME,Europe,Moscow,153 мс
104.19.48.109,443,true,DME,Europe,Moscow,137 мс
104.19.48.115,443,true,DME,Europe,Moscow,137 мс
104.19.48.107,443,true,DME,Europe,Moscow,138 мс
104.19.48.105,443,true,DME,Europe,Moscow,139 мс
104.19.48.108,443,true,RIX,Europe,Riga,146 мс
104.19.52.11,443,true,RIX,Europe,Riga,146 мс
104.19.48.106,443,true,DME,Europe,Moscow,149 мс
104.19.52.84,443,true,DME,Europe,Moscow,135 мс
104.19.52.81,443,true,DME,Europe,Moscow,136 мс
104.19.52.86,443,true,RIX,Europe,Riga,144 мс
104.19.52.82,443,true,DME,Europe,Moscow,144 мс
104.19.52.87,443,true,DME,Europe,Moscow,147 мс
104.19.56.56,443,true,DME,Europe,Moscow,149 мс
104.19.52.83,443,true,DME,Europe,Moscow,159 мс
104.19.56.59,443,true,DME,Europe,Moscow,137 мс
104.19.56.76,443,true,DME,Europe,Moscow,138 мс
104.19.56.58,443,true,DME,Europe,Moscow,139 мс
104.19.56.57,443,true,DME,Europe,Moscow,140 мс
104.19.56.61,443,true,DME,Europe,Moscow,140 мс
104.19.56.77,443,true,DME,Europe,Moscow,151 мс
104.19.56.60,443,true,DME,Europe,Moscow,151 мс
104.19.138.64,443,true,WAW,Europe,Warsaw,167 мс
104.19.137.109,443,true,WAW,Europe,Warsaw,168 мс
104.19.138.93,443,true,WAW,Europe,Warsaw,168 мс
104.19.161.212,443,true,RIX,Europe,Riga,146 мс
104.19.177.82,443,true,DME,Europe,Moscow,151 мс
104.19.181.73,443,true,DME,Europe,Moscow,139 мс
104.19.181.72,443,true,RIX,Europe,Riga,146 мс
104.19.188.55,443,true,DME,Europe,Moscow,189 мс
104.19.185.47,443,true,DME,Europe,Moscow,191 мс
104.19.185.51,443,true,DME,Europe,Moscow,191 мс
104.19.185.49,443,true,DME,Europe,Moscow,203 мс
104.19.185.33,443,true,DME,Europe,Moscow,203 мс
104.19.185.46,443,true,DME,Europe,Moscow,215 мс
104.19.189.18,443,true,DME,Europe,Moscow,138 мс
104.19.189.17,443,true,DME,Europe,Moscow,138 мс
104.19.189.9,443,true,DME,Europe,Moscow,139 мс
104.19.189.16,443,true,DME,Europe,Moscow,139 мс
104.19.189.14,443,true,DME,Europe,Moscow,140 мс
104.19.189.15,443,true,DME,Europe,Moscow,141 мс
104.19.189.21,443,true,DME,Europe,Moscow,142 мс
104.19.189.34,443,true,DME,Europe,Moscow,143 мс
104.19.192.37,443,true,DME,Europe,Moscow,143 мс
104.19.189.11,443,true,RIX,Europe,Riga,145 мс
104.19.189.47,443,true,DME,Europe,Moscow,146 мс
104.19.189.13,443,true,DME,Europe,Moscow,155 мс
104.19.189.12,443,true,DME,Europe,Moscow,155 мс
104.19.192.27,443,true,DME,Europe,Moscow,155 мс
