IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
5.10.246.140,443,true,HKG,Asia Pacific,Hong Kong,93 мс
5.10.246.142,443,true,HKG,Asia Pacific,Hong Kong,93 мс
5.10.245.97,443,true,HKG,Asia Pacific,Hong Kong,96 мс
5.10.245.96,443,true,HKG,Asia Pacific,Hong Kong,97 мс
5.10.244.50,443,true,HKG,Asia Pacific,Hong Kong,99 мс
5.10.247.177,443,true,HKG,Asia Pacific,Hong Kong,100 мс
5.10.246.247,443,true,HKG,Asia Pacific,Hong Kong,100 мс
5.10.244.99,443,true,HKG,Asia Pacific,Hong Kong,100 мс
5.10.246.246,443,true,HKG,Asia Pacific,Hong Kong,101 мс
5.10.247.176,443,true,HKG,Asia Pacific,Hong Kong,101 мс
5.10.246.245,443,true,HKG,Asia Pacific,Hong Kong,102 мс
5.10.245.182,443,true,HKG,Asia Pacific,Hong Kong,102 мс
5.10.246.147,443,true,HKG,Asia Pacific,Hong Kong,103 мс
5.10.247.174,443,true,HKG,Asia Pacific,Hong Kong,103 мс
5.10.245.116,443,true,HKG,Asia Pacific,Hong Kong,103 мс
5.10.246.160,443,true,HKG,Asia Pacific,Hong Kong,103 мс
5.10.247.210,443,true,HKG,Asia Pacific,Hong Kong,104 мс
5.10.247.1,443,true,HKG,Asia Pacific,Hong Kong,104 мс
5.10.244.149,443,true,HKG,Asia Pacific,Hong Kong,105 мс
5.10.245.115,443,true,HKG,Asia Pacific,Hong Kong,105 мс
5.10.245.133,443,true,HKG,Asia Pacific,Hong Kong,105 мс
5.10.246.159,443,true,HKG,Asia Pacific,Hong Kong,105 мс
5.10.246.209,443,true,HKG,Asia Pacific,Hong Kong,105 мс
5.10.246.202,443,true,HKG,Asia Pacific,Hong Kong,106 мс
5.10.244.122,443,true,HKG,Asia Pacific,Hong Kong,106 мс
5.10.244.150,443,true,HKG,Asia Pacific,Hong Kong,106 мс
5.10.244.199,443,true,HKG,Asia Pacific,Hong Kong,106 мс
5.10.246.156,443,true,HKG,Asia Pacific,Hong Kong,106 мс
5.10.246.146,443,true,HKG,Asia Pacific,Hong Kong,106 мс
5.10.244.148,443,true,HKG,Asia Pacific,Hong Kong,106 мс
5.10.245.212,443,true,HKG,Asia Pacific,Hong Kong,106 мс
5.10.247.202,443,true,HKG,Asia Pacific,Hong Kong,106 мс
5.10.245.126,443,true,HKG,Asia Pacific,Hong Kong,106 мс
5.10.244.152,443,true,HKG,Asia Pacific,Hong Kong,106 мс
5.10.244.75,443,true,HKG,Asia Pacific,Hong Kong,107 мс
5.10.246.157,443,true,HKG,Asia Pacific,Hong Kong,107 мс
5.10.245.204,443,true,HKG,Asia Pacific,Hong Kong,107 мс
5.10.246.158,443,true,HKG,Asia Pacific,Hong Kong,107 мс
5.10.244.147,443,true,HKG,Asia Pacific,Hong Kong,107 мс
5.10.245.124,443,true,HKG,Asia Pacific,Hong Kong,107 мс
5.10.245.123,443,true,HKG,Asia Pacific,Hong Kong,107 мс
5.10.244.141,443,true,HKG,Asia Pacific,Hong Kong,107 мс
5.10.246.208,443,true,HKG,Asia Pacific,Hong Kong,107 мс
5.10.245.211,443,true,HKG,Asia Pacific,Hong Kong,107 мс
5.10.247.209,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.246.197,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.246.145,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.245.183,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.246.203,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.246.204,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.245.178,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.244.151,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.245.224,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.246.154,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.245.177,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.247.208,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.246.133,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.246.144,443,true,HKG,Asia Pacific,Hong Kong,108 мс
5.10.246.206,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.246.136,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.245.179,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.246.207,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.245.69,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.244.153,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.245.221,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.244.198,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.246.244,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.246.201,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.246.130,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.246.190,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.246.153,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.246.148,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.246.155,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.246.134,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.245.220,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.245.113,443,true,HKG,Asia Pacific,Hong Kong,109 мс
5.10.244.146,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.246.143,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.247.181,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.247.171,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.246.191,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.245.13,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.246.129,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.244.121,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.245.222,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.246.205,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.245.67,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.246.194,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.246.135,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.245.201,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.244.110,443,true,HKG,Asia Pacific,Hong Kong,110 мс
5.10.246.128,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.244.143,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.246.196,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.247.169,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.245.223,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.246.3,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.245.219,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.247.45,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.244.118,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.246.150,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.244.145,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.244.113,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.245.185,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.245.125,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.245.199,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.244.124,443,true,HKG,Asia Pacific,Hong Kong,111 мс
5.10.245.111,443,true,HKG,Asia Pacific,Hong Kong,112 мс
5.10.244.166,443,true,HKG,Asia Pacific,Hong Kong,112 мс
5.10.246.193,443,true,HKG,Asia Pacific,Hong Kong,112 мс
5.10.247.178,443,true,HKG,Asia Pacific,Hong Kong,112 мс
5.10.244.117,443,true,HKG,Asia Pacific,Hong Kong,112 мс
5.10.246.198,443,true,HKG,Asia Pacific,Hong Kong,112 мс
5.10.245.11,443,true,HKG,Asia Pacific,Hong Kong,112 мс
5.10.244.116,443,true,HKG,Asia Pacific,Hong Kong,112 мс
5.10.245.217,443,true,HKG,Asia Pacific,Hong Kong,112 мс
