IP-адрес,Порт,TLS,Регион,Город,Задержка
35.91.3.85,2086,FALSE,North America,Chicago,198
52.42.17.48,2083,FALSE,North America,Chicago,206
35.88.241.242,2096,FALSE,North America,Chicago,201
35.88.241.242,80,FALSE,North America,Chicago,199
35.88.241.242,2082,FALSE,North America,Chicago,204
35.88.241.242,2087,FALSE,North America,Chicago,201
35.88.241.242,2053,FALSE,North America,Chicago,199
35.88.241.242,8443,FALSE,North America,Chicago,203
35.88.241.242,443,FALSE,North America,Chicago,204
35.88.241.242,2083,FALSE,North America,Chicago,198
34.210.73.42,2086,FALSE,North America,Chicago,210
34.210.73.42,2087,FALSE,North America,Chicago,201
96.0.147.28,80,FALSE,Asia Pacific,Singapore,28
96.0.144.232,80,FALSE,Asia Pacific,Singapore,30
96.0.147.114,443,FALSE,Asia Pacific,Singapore,31
96.0.147.114,80,FALSE,Asia Pacific,Singapore,31
16.162.177.179,2053,FALSE,Asia Pacific,Hong Kong,71
13.55.237.163,2053,FALSE,Oceania,Sydney,93
13.55.237.163,2096,FALSE,Oceania,Sydney,93
13.237.94.188,2096,FALSE,Oceania,Sydney,93
13.55.237.163,2083,FALSE,Oceania,Sydney,93
13.55.238.1,2052,FALSE,Oceania,Sydney,94
13.55.59.224,2086,FALSE,Oceania,Sydney,95
13.55.238.1,2095,FALSE,Oceania,Sydney,96
13.55.237.163,2087,FALSE,Oceania,Sydney,96
13.55.237.163,2082,FALSE,Oceania,Sydney,98
13.55.238.1,2096,FALSE,Oceania,Sydney,99
13.55.238.1,2087,FALSE,Oceania,Sydney,101
54.252.91.41,2083,FALSE,Oceania,Sydney,104
16.162.172.91,2096,FALSE,Asia Pacific,Hong Kong,106
54.252.91.41,2087,FALSE,Oceania,Sydney,107
13.215.80.221,2095,FALSE,Asia Pacific,Singapore,108
13.55.59.224,2083,FALSE,Oceania,Sydney,110
13.54.173.154,2096,FALSE,Oceania,Sydney,111
13.238.235.196,2053,FALSE,Oceania,Sydney,112
13.54.173.154,2053,FALSE,Oceania,Sydney,116
54.79.10.40,2087,FALSE,Oceania,Sydney,120
13.236.104.165,2096,FALSE,Oceania,Sydney,120
13.211.0.227,2095,FALSE,Oceania,Sydney,123
13.236.104.165,2095,FALSE,Oceania,Sydney,128
13.55.237.163,2095,FALSE,Oceania,Sydney,128
54.252.91.41,2052,FALSE,Oceania,Sydney,129
54.79.10.40,2096,FALSE,Oceania,Sydney,130
13.215.80.221,2096,FALSE,Asia Pacific,Singapore,132
54.252.91.41,2096,FALSE,Oceania,Sydney,135
13.55.238.1,2083,FALSE,Oceania,Sydney,136
13.55.59.224,2087,FALSE,Oceania,Sydney,136
54.252.91.41,2095,FALSE,Oceania,Sydney,138
13.211.0.227,2096,FALSE,Oceania,Sydney,138
13.236.104.165,2053,FALSE,Oceania,Sydney,139
13.238.235.196,2095,FALSE,Oceania,Sydney,139
13.209.166.73,80,FALSE,Asia Pacific,Seoul,140
54.252.91.41,2086,FALSE,Oceania,Sydney,142
13.55.59.224,2052,FALSE,Oceania,Sydney,143
13.215.80.221,2082,FALSE,Asia Pacific,Singapore,143
13.211.0.227,2052,FALSE,Oceania,Sydney,150
13.55.59.224,2082,FALSE,Oceania,Sydney,150
13.55.59.224,2053,FALSE,Oceania,Sydney,151
13.215.80.221,2086,FALSE,Asia Pacific,Singapore,152
13.55.237.163,2052,FALSE,Oceania,Sydney,154
13.237.94.188,2083,FALSE,Oceania,Sydney,157
13.36.162.145,2096,FALSE,Europe,Paris,159
13.36.162.145,2082,FALSE,Europe,Paris,159
13.36.162.145,2083,FALSE,Europe,Paris,160
15.188.168.174,2053,FALSE,Europe,Paris,160
15.188.168.174,2096,FALSE,Europe,Paris,160
13.36.63.124,2095,FALSE,Europe,Paris,160
13.36.253.240,2086,FALSE,Europe,Paris,160
13.36.63.124,2087,FALSE,Europe,Paris,160
15.165.63.136,2053,FALSE,Asia Pacific,Seoul,161
13.36.162.145,2053,FALSE,Europe,Paris,161
15.188.168.174,2082,FALSE,Europe,Paris,164
13.55.59.224,2095,FALSE,Oceania,Sydney,164
13.54.173.154,2087,FALSE,Oceania,Sydney,165
13.55.59.224,2096,FALSE,Oceania,Sydney,166
13.237.94.188,2095,FALSE,Oceania,Sydney,167
13.211.0.227,2087,FALSE,Oceania,Sydney,167
157.175.186.136,8443,TRUE,Europe,Marseille,169
13.36.24.111,2096,FALSE,Europe,Paris,170
54.79.10.40,2095,FALSE,Oceania,Sydney,170
15.188.168.174,2086,FALSE,Europe,Paris,170
13.237.94.188,2052,FALSE,Oceania,Sydney,170
99.80.238.19,2082,FALSE,Europe,Dublin,171
13.36.63.124,2082,FALSE,Europe,Paris,172
13.237.94.188,2087,FALSE,Oceania,Sydney,172
13.36.24.111,2086,FALSE,Europe,Paris,172
13.36.162.145,2087,FALSE,Europe,Paris,172
15.188.168.174,2095,FALSE,Europe,Paris,172
13.36.24.111,2087,FALSE,Europe,Paris,173
13.237.94.188,2053,FALSE,Oceania,Sydney,173
15.188.168.174,2087,FALSE,Europe,Paris,173
13.36.162.145,2095,FALSE,Europe,Paris,173
13.237.223.44,2052,FALSE,Oceania,Sydney,173
13.36.24.111,2083,FALSE,Europe,Paris,174
13.36.253.240,2053,FALSE,Europe,Paris,174
13.36.24.111,2052,FALSE,Europe,Paris,174
15.188.168.174,2083,FALSE,Europe,Paris,175
13.36.253.240,2083,FALSE,Europe,Paris,175
15.160.252.181,2052,FALSE,Europe,Milan,175
13.236.104.165,2052,FALSE,Oceania,Sydney,175
15.160.250.170,2095,FALSE,Europe,Milan,176
15.161.74.249,2053,FALSE,Europe,Milan,176
15.165.63.136,2052,FALSE,Asia Pacific,Seoul,176
15.161.74.249,2096,FALSE,Europe,Milan,176
15.160.252.181,2086,FALSE,Europe,Milan,177
13.36.24.111,2095,FALSE,Europe,Paris,177
13.36.162.145,2052,FALSE,Europe,Paris,177
13.36.162.145,2086,FALSE,Europe,Paris,177
15.160.252.181,2095,FALSE,Europe,Milan,177
13.215.80.221,2083,FALSE,Asia Pacific,Singapore,178
15.160.250.170,2096,FALSE,Europe,Milan,178
18.156.153.248,2053,TRUE,Europe,Frankfurt,178
15.161.186.110,2083,FALSE,Europe,Milan,178
15.161.40.69,2086,FALSE,Europe,Milan,179
15.161.74.249,2082,FALSE,Europe,Milan,179
